month,average_price
2015-1,1872.8424578693366
2015-2,1821.895878008049
2015-3,1584.392130123186
2015-4,1573.2331893043026
2015-5,1637.163652545131
2015-6,1468.0178672717166
2015-7,1320.1319924800216
2015-8,1318.00347519697
2015-9,1374.8820809278884
2015-10,1212.278569102609
2015-11,1029.9186590165684
2015-12,860.0343084527664
2016-1,930.2277686765449
2016-2,917.8067626819296
2016-3,712.2789320245498
2016-4,669.4354097253997
2016-5,660.1173988075814
2016-6,614.1165498052576
2016-7,665.6789767995609
2016-8,845.7588487441207
2016-9,917.3304378959702
2016-10,858.7191550519287
2016-11,886.5123896561585
2016-12,977.3776142352654
2017-1,902.1164793787134
2017-2,803.578915682387
2017-3,783.3137865574568
2017-4,783.8552105842198
2017-5,644.4323396194162
2017-6,608.4597086846335
2017-7,449.58078699309044
2017-8,394.07019334251066
2017-9,356.07000280827333
2017-10,355.2838038846742
2017-11,298.2634863853368
2017-12,224.14454261856181
2018-1,226.43115954664458
2018-2,212.63164706451516
2018-3,156.3931690083668
2018-4,122.67273406806981
2018-5,116.18121146755992
2018-6,111.46694009074206
2018-7,117.48485454900637
2018-8,113.5257298131569
2018-9,104.34011567762703
2018-10,96.49751909034617
2018-11,92.5604090579354
2018-12,95.82496236768031
2019-1,91.18305848593415
2019-2,71.32335843719767
2019-3,63.393761727791926
2019-4,67.13403825107447
2019-5,59.36360139699196
2019-6,45.599165941952585
2019-7,49.04890301841983
2019-8,51.51977030061498
2019-9,51.68645698994915
2019-10,36.28906287084151
2019-11,28.551036356495974
2019-12,28.97130702071082
