month,average_price
2015-1,9.440220767385822
2015-2,9.18803543453278
2015-3,9.658474350321761
2015-4,10.2845287447978
2015-5,11.10378095979327
2015-6,11.970516409345453
2015-7,11.910877401153533
2015-8,13.098587703459549
2015-9,13.150878134413977
2015-10,12.995593067217646
2015-11,13.34192728270466
2015-12,13.5795097001314
2016-1,13.820463043886965
2016-2,14.756676888634935
2016-3,16.601808085659822
2016-4,18.304747786419558
2016-5,20.495456786146804
2016-6,21.674529672673774
2016-7,22.376277999227987
2016-8,23.723325663464674
2016-9,24.36014686721247
2016-10,25.594982673019427
2016-11,29.416582154646413
2016-12,32.384751457188855
2017-1,34.23222130604088
2017-2,37.28740775518146
2017-3,38.00284957713239
2017-4,37.92561646124268
2017-5,41.703265853040804
2017-6,42.97567830648403
2017-7,44.743473368631335
2017-8,47.952534820610275
2017-9,45.65262144408587
2017-10,43.57666055932154
2017-11,48.21999110602944
2017-12,53.72338041624879
2018-1,53.006095799920764
2018-2,56.26964175427709
2018-3,58.718693350889176
2018-4,65.24143425886778
2018-5,73.85488269371581
2018-6,83.03222593885006
2018-7,91.14313784559916
2018-8,102.77662340205683
2018-9,110.53344259227421
2018-10,107.66209704291133
2018-11,109.17507859775928
2018-12,107.98704782153898
2019-1,110.05766387040644
2019-2,127.84199856232833
2019-3,136.36793760572056
2019-4,137.43159121680668
2019-5,140.251735492452
2019-6,157.2278528409123
2019-7,170.3049046289856
2019-8,163.4329049306615
2019-9,184.09428578466782
2019-10,198.28562880445358
2019-11,210.82858209061263
2019-12,200.8318890477368
