month,average_price
2015-1,4.858852280915428
2015-2,5.887046962728421
2015-3,7.237218783078384
2015-4,8.862149987597125
2015-5,10.042951113479594
2015-6,10.834517862523201
2015-7,11.57635355027306
2015-8,12.37989384451691
2015-9,13.595048247241033
2015-10,15.50690279728118
2015-11,16.260404513309123
2015-12,17.209570559117445
2016-1,16.558563052972197
2016-2,17.387415454535784
2016-3,18.013085561176187
2016-4,19.613484379816416
2016-5,19.54020235682698
2016-6,20.965008548150134
2016-7,21.189636591882817
2016-8,19.74826691046053
2016-9,19.43136642593173
2016-10,22.513843470875578
2016-11,28.00622859576159
2016-12,36.75923536624207
2017-1,42.71962559547299
2017-2,45.78894824767292
2017-3,58.82363910150854
2017-4,65.5834639295733
2017-5,69.71298674163259
2017-6,75.46291154648893
2017-7,78.9072093929932
2017-8,85.95972051212787
2017-9,85.32829389108676
2017-10,93.77292692390765
2017-11,96.55327915343014
2017-12,98.30590314995649
2018-1,104.31162885020134
2018-2,115.33180645577468
2018-3,132.0941019226365
2018-4,134.8388053661259
2018-5,149.3828002405196
2018-6,170.01047361567336
2018-7,170.28792815882153
2018-8,179.89149917894568
2018-9,199.11655277944777
2018-10,215.34437883990643
2018-11,233.84440387054138
2018-12,256.29612126492987
2019-1,224.3948088212059
2019-2,248.20300438132435
2019-3,263.4642069722461
2019-4,268.9214840636445
2019-5,258.5624010897567
2019-6,253.33206604964386
2019-7,294.25797555132647
2019-8,309.35916113144634
2019-9,315.3265473031484
2019-10,363.6274845430409
2019-11,383.74475414550784
2019-12,425.33998998227366
